iso3_i,iso3_j,contiguity,common_language,colonial_link,distance
ABW,ABW,0,0,0,5.2253146
ABW,AFG,0,0,0,13257.814
ABW,AGO,0,0,0,9516.913
ABW,AIA,0,0,0,983.26825
ABW,ALB,0,0,0,9091.742
ABW,AND,0,1,0,7572.788
ABW,ANT,0,1,0,136.3848
ABW,ARE,0,0,0,12735.012
ABW,ARG,0,1,0,5396.2197
ABW,ARM,0,0,0,11107.783
ABW,ATG,0,0,0,1024.9948
ABW,AUS,0,0,0,15237.495
ABW,AUT,0,0,0,8719.13
ABW,AZE,0,0,0,11502.997
ABW,BDI,0,0,0,11120.469
ABW,BEL,0,1,0,7847.0703
ABW,BEN,0,0,0,7979.9453
ABW,BFA,0,0,0,7414.016
ABW,BGD,0,0,0,15473.457
ABW,BGR,0,0,0,9348.039
ABW,BHR,0,0,0,12308.359
ABW,BHS,0,0,0,1588.5146
ABW,BIH,0,0,0,8936.664
ABW,BLR,0,0,0,9382.626
ABW,BLZ,0,1,0,2076.2158
ABW,BMU,0,0,0,2263.7866
ABW,BOL,0,1,0,3240.2312
ABW,BRA,0,0,0,4759.608
ABW,BRB,0,0,0,1139.2405
ABW,BRN,0,0,0,18008.871
ABW,BTN,0,0,0,15070.868
ABW,BWA,0,0,0,11196.276
ABW,CAF,0,0,0,9771.96
ABW,CAN,0,0,0,3573.8872
ABW,CCK,0,0,0,18614.29
ABW,CHE,0,0,0,8056.332
ABW,CHL,0,1,0,5125.68
ABW,CHN,0,0,0,14155.351
ABW,CIV,0,0,0,7293.8833
ABW,CMR,0,0,0,9014.291
ABW,COG,0,0,0,9613.901
ABW,COK,0,0,0,10484.673
ABW,COL,0,1,0,1036.6342
ABW,COM,0,0,0,12802.653
ABW,CPV,0,0,0,5036.3857
ABW,CRI,0,1,0,1550.7723
ABW,CUB,0,1,0,1754.7382
ABW,CXR,0,0,0,19519.52
ABW,CYM,0,0,0,1421.3784
ABW,CYP,0,0,0,10403.22
ABW,CZE,0,0,0,8560.899
ABW,DEU,0,0,0,8034.389
ABW,DJI,0,0,0,12186.874
ABW,DMA,0,0,0,989.98834
ABW,DNK,0,0,0,8408.59
ABW,DOM,0,1,0,663.0993
ABW,DZA,0,0,0,7686.4067
ABW,ECU,0,1,0,1698.3993
ABW,EGY,0,0,0,10383.609
ABW,ERI,0,0,0,11620.09
ABW,ESH,0,0,0,6124.0127
ABW,ESP,0,1,0,7121.5244
ABW,EST,0,0,0,9088.512
ABW,ETH,0,0,0,11817.333
ABW,FIN,0,0,0,9087.563
ABW,FJI,0,0,0,12692.412
ABW,FLK,0,0,0,7248.1436
ABW,FRA,0,0,0,7685.884
ABW,FRO,0,0,0,7410.5073
ABW,FSM,0,0,0,14263.712
ABW,GAB,0,0,0,8868.927
ABW,GBR,0,0,0,7541.2427
ABW,GEO,0,0,0,11056.94
ABW,GHA,0,0,0,7697.9443
ABW,GIB,0,1,0,6937.0156
ABW,GIN,0,0,0,5940.8125
ABW,GLP,0,0,0,980.5495
ABW,GMB,0,0,0,5785.5024
ABW,GNB,0,0,0,5912.736
ABW,GNQ,0,1,0,8721.603
ABW,GRC,0,0,0,9491.157
ABW,GRD,0,0,0,911.348
ABW,GRL,0,0,0,5921.006
ABW,GTM,0,1,0,2220.0676
ABW,GUF,0,0,0,2128.7905
ABW,GUY,0,0,0,1458.4059
ABW,HKG,0,0,0,16131.13
ABW,HND,0,1,0,1863.0504
ABW,HRV,0,0,0,8716.868
ABW,HTI,0,0,0,709.3878
ABW,HUN,0,0,0,8927.636
ABW,IDN,0,0,0,19240.393
ABW,IND,0,0,0,14258.173
ABW,IRL,0,0,0,7174.0166
ABW,IRN,0,0,0,11880.18
ABW,IRQ,0,0,0,11426.339
ABW,ISL,0,0,0,6827.22
ABW,ISR,0,0,0,10635.04
ABW,ITA,0,0,0,8480.133
ABW,JAM,0,0,0,938.35114
ABW,JOR,0,0,0,10744.009
ABW,JPN,0,0,0,13815.841
ABW,KAZ,0,0,0,12977.214
ABW,KEN,0,0,0,11887.174
ABW,KGZ,0,0,0,12891.457
ABW,KHM,0,0,0,17292.002
ABW,KIR,0,0,0,12879.5205
ABW,KNA,0,0,0,952.67194
ABW,KOR,0,0,0,14183.6045
ABW,KWT,0,0,0,11922.281
ABW,LAO,0,0,0,16543.053
ABW,LBN,0,0,0,10635.638
ABW,LBR,0,0,0,6538.7207
ABW,LBY,0,0,0,8638.483
ABW,LCA,0,0,0,1000.8457
ABW,LKA,0,0,0,16067.5625
ABW,LSO,0,0,0,11423.006
ABW,LTU,0,0,0,9223.909
ABW,LUX,0,0,0,7967.711
ABW,LVA,0,0,0,9100.948
ABW,MAC,0,0,0,16137.888
ABW,MAR,0,0,0,6782.7393
ABW,MDA,0,0,0,9662.548
ABW,MDG,0,0,0,13342.618
ABW,MDV,0,0,0,15595.964
