iso3_a,iso3_b,year,war
USA,UKG,1902,0
USA,UKG,1903,0
UKG,USA,1902,0
UKG,USA,1903,0
AUH,YUG,1913,0
YUG,AUH,1913,0
UKG,ALB,1946,0
ALB,UKG,1946,0
UKG,EGY,1951,0
UKG,EGY,1952,0
EGY,UKG,1951,0
EGY,UKG,1952,0
UKG,IRN,1856,1
UKG,IRN,1857,1
IRN,UKG,1856,1
IRN,UKG,1857,1
UKG,PRT,1889,0
UKG,PRT,1890,0
PRT,UKG,1889,0
PRT,UKG,1890,0
GMY,AUT,1938,0
AUT,GMY,1938,0
UKG,GMY,1938,0
GMY,UKG,1938,0
BEL,GMY,1938,0
GMY,BEL,1938,0
FRN,GMY,1938,0
GMY,FRN,1938,0
GMY,CZE,1938,0
CZE,GMY,1938,0
GMY,RUS,1938,0
RUS,GMY,1938,0
USA,JPN,1863,0
JPN,USA,1863,0
UKG,JPN,1863,0
JPN,UKG,1863,0
FRN,JPN,1863,0
JPN,FRN,1863,0
UKG,TUR,1895,0
TUR,UKG,1895,0
USA,UKG,1839,0
UKG,USA,1839,0
UKG,USR,1897,0
UKG,USR,1898,0
USR,UKG,1897,0
USR,UKG,1898,0
UKG,KOR,1897,0
UKG,KOR,1898,0
KOR,UKG,1897,0
KOR,UKG,1898,0
RUS,JPN,1897,0
RUS,JPN,1898,0
JPN,RUS,1897,0
JPN,RUS,1898,0
AUH,ITA,1848,1
AUH,ITA,1849,1
ITA,AUH,1848,1
ITA,AUH,1849,1
AUH,MOD,1848,1
MOD,AUH,1848,1
AUH,TUS,1848,1
TUS,AUH,1848,1
RUS,IRN,1945,0
RUS,IRN,1946,0
IRN,RUS,1945,0
IRN,RUS,1946,0
AUH,YUG,1912,0
YUG,AUH,1912,0
AUH,RUS,1912,0
RUS,AUH,1912,0
RUS,LVA,1940,0
LVA,RUS,1940,0
RUS,EST,1939,0
EST,RUS,1939,0
UKG,NTH,1831,0
NTH,UKG,1831,0
NTH,BEL,1831,0
NTH,BEL,1832,0
BEL,NTH,1831,0
BEL,NTH,1832,0
NTH,FRN,1831,0
FRN,NTH,1831,0
FRN,GMY,1831,0
GMY,FRN,1831,0
USA,RUS,1948,0
USA,RUS,1949,0
RUS,USA,1948,0
RUS,USA,1949,0
UKG,RUS,1948,0
UKG,RUS,1949,0
RUS,UKG,1948,0
RUS,UKG,1949,0
FRN,RUS,1948,0
FRN,RUS,1949,0
RUS,FRN,1948,0
RUS,FRN,1949,0
USA,GDR,1961,0
GDR,USA,1961,0
USA,POL,1961,0
POL,USA,1961,0
USA,CZE,1961,0
CZE,USA,1961,0
USA,RUS,1961,0
RUS,USA,1961,0
UKG,GDR,1961,0
GDR,UKG,1961,0
UKG,POL,1961,0
POL,UKG,1961,0
UKG,CZE,1961,0
CZE,UKG,1961,0
UKG,RUS,1961,0
RUS,UKG,1961,0
FRN,GDR,1961,0
GDR,FRN,1961,0
FRN,POL,1961,0
POL,FRN,1961,0
FRN,CZE,1961,0
CZE,FRN,1961,0
FRN,RUS,1961,0
RUS,FRN,1961,0
GFR,GDR,1961,0
GDR,GFR,1961,0
GFR,POL,1961,0
POL,GFR,1961,0
GFR,CZE,1961,0
CZE,GFR,1961,0
GFR,RUS,1961,0
RUS,GFR,1961,0
FRN,TUN,1961,0
TUN,FRN,1961,0
AUH,YUG,1908,0
AUH,YUG,1909,0
YUG,AUH,1908,0
YUG,AUH,1909,0
USA,CHN,1900,1
CHN,USA,1900,1
UKG,CHN,1900,1
CHN,UKG,1900,1
FRN,CHN,1900,1
CHN,FRN,1900,1
GMY,CHN,1900,0
CHN,GMY,1900,0
AUH,CHN,1900,0
CHN,AUH,1900,0
ITA,CHN,1900,0
CHN,ITA,1900,0
RUS,CHN,1900,1
CHN,RUS,1900,1
CHN,JPN,1900,1
JPN,CHN,1900,1
USA,UKG,1837,0
USA,UKG,1838,0
UKG,USA,1837,0
UKG,USA,1838,0
CHN,JPN,1928,0
JPN,CHN,1928,0
RUS,CHN,1929,1
CHN,RUS,1929,1
GMY,CHN,1897,0
GMY,CHN,1898,0
CHN,GMY,1897,0
CHN,GMY,1898,0
USA,RUS,1954,0
RUS,USA,1954,0
USA,CHN,1953,0
USA,CHN,1954,0
USA,CHN,1955,0
USA,CHN,1956,0
CHN,USA,1953,0
CHN,USA,1954,0
CHN,USA,1955,0
CHN,USA,1956,0
RUS,KOR,1954,0
KOR,RUS,1954,0
CHN,TAW,1953,0
CHN,TAW,1954,1
CHN,TAW,1955,1
CHN,TAW,1956,0
TAW,CHN,1953,0
TAW,CHN,1954,1
TAW,CHN,1955,1
TAW,CHN,1956,0
CHN,KOR,1953,0
KOR,CHN,1953,0
USA,CHN,1950,1
USA,CHN,1951,1
USA,CHN,1952,1
USA,CHN,1953,1
CHN,USA,1950,1
CHN,USA,1951,1
CHN,USA,1952,1
CHN,USA,1953,1
USA,PRK,1950,1
USA,PRK,1951,1
USA,PRK,1952,1
USA,PRK,1953,1
PRK,USA,1950,1
PRK,USA,1951,1
PRK,USA,1952,1
PRK,USA,1953,1
CAN,CHN,1950,0
CAN,CHN,1951,1
CAN,CHN,1952,1
CAN,CHN,1953,1
CHN,CAN,1950,0
CHN,CAN,1951,1
CHN,CAN,1952,1
CHN,CAN,1953,1
CAN,PRK,1950,0
CAN,PRK,1951,1
CAN,PRK,1952,1
CAN,PRK,1953,1
PRK,CAN,1950,0
PRK,CAN,1951,1
PRK,CAN,1952,1
PRK,CAN,1953,1
COL,CHN,1951,1
COL,CHN,1952,1
COL,CHN,1953,1
CHN,COL,1951,1
CHN,COL,1952,1
CHN,COL,1953,1
COL,PRK,1951,1
COL,PRK,1952,1
COL,PRK,1953,1
PRK,COL,1951,1
PRK,COL,1952,1
PRK,COL,1953,1
UKG,CHN,1950,1
UKG,CHN,1951,1
UKG,CHN,1952,1
UKG,CHN,1953,1
CHN,UKG,1950,1
CHN,UKG,1951,1
CHN,UKG,1952,1
CHN,UKG,1953,1
UKG,PRK,1950,1
UKG,PRK,1951,1
UKG,PRK,1952,1
UKG,PRK,1953,1
PRK,UKG,1950,1
PRK,UKG,1951,1
PRK,UKG,1952,1
PRK,UKG,1953,1
NTH,CHN,1950,1
NTH,CHN,1951,1
NTH,CHN,1952,1
NTH,CHN,1953,1
CHN,NTH,1950,1
CHN,NTH,1951,1
CHN,NTH,1952,1
CHN,NTH,1953,1
NTH,PRK,1950,1
NTH,PRK,1951,1
NTH,PRK,1952,1
NTH,PRK,1953,1
PRK,NTH,1950,1
PRK,NTH,1951,1
PRK,NTH,1952,1
PRK,NTH,1953,1
BEL,CHN,1951,1
BEL,CHN,1952,1
BEL,CHN,1953,1
CHN,BEL,1951,1
CHN,BEL,1952,1
CHN,BEL,1953,1
BEL,PRK,1951,1
BEL,PRK,1952,1
BEL,PRK,1953,1
PRK,BEL,1951,1
PRK,BEL,1952,1
PRK,BEL,1953,1
LUX,CHN,1951,0
LUX,CHN,1952,0
LUX,CHN,1953,0
CHN,LUX,1951,0
CHN,LUX,1952,0
CHN,LUX,1953,0
LUX,PRK,1951,0
LUX,PRK,1952,0
LUX,PRK,1953,0
PRK,LUX,1951,0
PRK,LUX,1952,0
PRK,LUX,1953,0
FRN,CHN,1951,1
FRN,CHN,1952,1
FRN,CHN,1953,1
CHN,FRN,1951,1
CHN,FRN,1952,1
CHN,FRN,1953,1
FRN,PRK,1951,1
FRN,PRK,1952,1
FRN,PRK,1953,1
PRK,FRN,1951,1
PRK,FRN,1952,1
PRK,FRN,1953,1
GRC,CHN,1950,1
GRC,CHN,1951,1
GRC,CHN,1952,1
GRC,CHN,1953,1
CHN,GRC,1950,1
CHN,GRC,1951,1
CHN,GRC,1952,1
CHN,GRC,1953,1
GRC,PRK,1950,1
GRC,PRK,1951,1
GRC,PRK,1952,1
GRC,PRK,1953,1
PRK,GRC,1950,1
PRK,GRC,1951,1
PRK,GRC,1952,1
PRK,GRC,1953,1
ETH,CHN,1951,1
ETH,CHN,1952,1
ETH,CHN,1953,1
CHN,ETH,1951,1
CHN,ETH,1952,1
CHN,ETH,1953,1
ETH,PRK,1951,1
ETH,PRK,1952,1
ETH,PRK,1953,1
PRK,ETH,1951,1
PRK,ETH,1952,1
PRK,ETH,1953,1
ZAF,CHN,1952,0
ZAF,CHN,1953,0
CHN,ZAF,1952,0
CHN,ZAF,1953,0
ZAF,PRK,1951,0
ZAF,PRK,1952,0
ZAF,PRK,1953,0
PRK,ZAF,1951,0
PRK,ZAF,1952,0
PRK,ZAF,1953,0
TUR,CHN,1950,1
TUR,CHN,1951,1
TUR,CHN,1952,1
TUR,CHN,1953,1
CHN,TUR,1950,1
CHN,TUR,1951,1
CHN,TUR,1952,1
CHN,TUR,1953,1
TUR,PRK,1950,1
TUR,PRK,1951,1
TUR,PRK,1952,1
TUR,PRK,1953,1
PRK,TUR,1950,1
PRK,TUR,1951,1
PRK,TUR,1952,1
PRK,TUR,1953,1
CHN,KOR,1950,1
CHN,KOR,1951,1
CHN,KOR,1952,1
CHN,KOR,1953,1
KOR,CHN,1950,1
KOR,CHN,1951,1
KOR,CHN,1952,1
KOR,CHN,1953,1
CHN,THI,1950,0
CHN,THI,1951,1
CHN,THI,1952,1
CHN,THI,1953,1
THI,CHN,1950,0
THI,CHN,1951,1
THI,CHN,1952,1
THI,CHN,1953,1
CHN,PHL,1950,0
CHN,PHL,1951,1
CHN,PHL,1952,1
CHN,PHL,1953,1
PHL,CHN,1950,0
PHL,CHN,1951,1
PHL,CHN,1952,1
PHL,CHN,1953,1
CHN,AUS,1950,1
CHN,AUS,1951,1
CHN,AUS,1952,1
CHN,AUS,1953,1
AUS,CHN,1950,1
AUS,CHN,1951,1
AUS,CHN,1952,1
