iso3,year,milex_const_usd,milex_current_usd,milex_gdp_share,gdp_const_usd,ln_milex_const_usd,ln_gdp_const_usd
AFG,1949,,,,,,
AFG,1950,,,,,,
AFG,1951,,,,,,
AFG,1952,,,,,,
AFG,1953,,,,,,
AFG,1954,,,,,,
AFG,1955,,,,,,
AFG,1956,,,,,,
AFG,1957,,,,,,
AFG,1958,,,,,,
AFG,1959,,,,,,
AFG,1960,,,,,,
AFG,1961,,,,,,
AFG,1962,,,,,,
AFG,1963,,,,,,
AFG,1964,,,,,,
AFG,1965,,,,,,
AFG,1966,,,,,,
AFG,1967,,,,,,
AFG,1968,,,,,,
AFG,1969,,,,,,
AFG,1970,62.8003175449058,2.93958550125377,0.0162960609911055,3853711493.788753,17.955470687873188,22.072302545233757
AFG,1971,,,,,,
AFG,1972,,,,,,
AFG,1973,72.8225370788906,3.34127155123016,0.0186891025641026,3896524021.3709183,18.103536040517866,22.083350716087327
AFG,1974,70.782322986234,3.58136635143003,0.0161082474226804,4394166610.985411,18.075119852154195,22.20354372802916
AFG,1975,74.3035076137225,4.20366456865451,0.0172206572769953,4314789291.6365595,18.123668717372105,22.185314328687312
AFG,1976,94.7664230986525,5.3932512159455,0.0204608695652174,4631593139.118161,18.366925717763245,22.256166736381267
AFG,1977,99.9740886142356,6.1272880633346,0.020114747930775,4970188488.481033,18.420421596518924,22.3267236015835
AFG,1978,,,,,,
AFG,1979,,,,,,
AFG,1980,,,,,,
AFG,1981,,,,,,
AFG,1982,,,,,,
AFG,1983,,,,,,
AFG,1984,,,,,,
AFG,1985,,,,,,
AFG,1986,,,,,,
AFG,1987,,,,,,
AFG,1988,,,,,,
AFG,1989,,,,,,
AFG,1990,,,,,,
AFG,1991,,,,,,
AFG,1992,,,,,,
AFG,1993,,,,,,
AFG,1994,,,,,,
AFG,1995,,,,,,
AFG,1996,,,,,,
AFG,1997,,,,,,
AFG,1998,,,,,,
AFG,1999,,,,,,
AFG,2000,,,,,,
AFG,2001,,,,,,
AFG,2002,,,,,,
AFG,2003,,,,,,
AFG,2004,183.648323780788,125.111557457054,0.0243125378739118,7553646794.637966,19.02853320293966,22.74529630274849
AFG,2005,165.378054258915,122.727193134874,0.0199206569856085,8301837352.974398,18.923744648914656,22.83974269507896
AFG,2006,167.18947946267,131.346231269517,0.0189623399634252,8816922372.721256,18.934638334761228,22.899938708739125
AFG,2007,257.366345241151,219.580214296198,0.0256626735198569,10028820459.489916,19.366011095709045,23.02872883075742
AFG,2008,224.292155100811,240.532594620985,0.02335545701939,9603415378.024961,19.228460023848974,22.985384640693844
AFG,2009,252.407948660449,251.869514820335,0.0208741255278385,12091905278.802147,19.346557180451025,23.21580208045568
AFG,2010,269.912673379072,298.147102825701,0.0194583569418812,13871298290.254164,19.413609032717897,23.353087671092563
AFG,2011,265.485039826344,325.806949723331,0.0182134545354632,14576314411.38315,19.39706904988863,23.40266374771595
AFG,2012,198.955802711649,238.583385374322,0.0117541612009988,16926414340.373594,19.108593261095205,23.552141217415773
AFG,2013,183.421701994957,217.194107113298,0.0107694976762403,17031593070.456995,19.027298442274336,23.558335872193513
AFG,2014,223.721969919397,268.238787719988,0.0129801287790022,17235728067.760727,19.22591463316853,23.570250279583245
AFG,2015,178.913871120709,199.517108764826,0.00994575822723645,17988962433.326954,19.002415081083665,23.613024208611197
AFG,2016,177.240056304688,185.878310062383,0.00956772140958855,18524792760.694527,18.99301562197035,23.642375821058945
AFG,2017,174.272685048152,191.407113244397,0.00945226799939516,18437129063.55422,18.97613178592131,23.637632352257178
AFG,2018,190.335314445249,198.074728574408,0.0100674585570556,18905994334.772392,19.064297887542047,23.662744869297192
AFG,2019,228.106548251971,226.306243729258,0.0117096838242129,19480162887.08836,19.24532339465479,23.692662496886022
AFG,2020,263.904201818011,279.576954925193,0.0135885692738929,19421044003.87745,19.391096723355176,23.689623057575606
AFG,2021,268.600634482865,278.250788014927,0.01827933856217,14694220667.193472,19.408736204235524,23.410720101535034
AFG,2022,,,,,,
AFG,2023,,,,,,
AGO,1949,,,,,,
AGO,1950,,,,,,
AGO,1951,,,,,,
AGO,1952,,,,,,
AGO,1953,,,,,,
AGO,1954,,,,,,
AGO,1955,,,,,,
AGO,1956,,,,,,
AGO,1957,,,,,,
AGO,1958,,,,,,
AGO,1959,,,,,,
AGO,1960,,,,,,
AGO,1961,,,,,,
AGO,1962,,,,,,
AGO,1963,,,,,,
AGO,1964,,,,,,
AGO,1965,,,,,,
AGO,1966,,,,,,
AGO,1967,,,,,,
AGO,1968,,,,,,
AGO,1969,,,,,,
AGO,1970,,,,,,
AGO,1971,,,,,,
AGO,1972,,,,,,
AGO,1973,,,,,,
AGO,1974,,,,,,
AGO,1975,,,,,,
AGO,1976,,,,,,
AGO,1977,,,,,,
AGO,1978,,343.271609064777,,,,
AGO,1979,,504.712881877131,,,,
AGO,1980,,497.35944916104,,,,
AGO,1981,,618.89163714152,,,,
AGO,1982,,668.493883280968,,,,
AGO,1983,,778.628250551507,,,,
AGO,1984,,1066.24774383314,,,,
AGO,1985,,1146.46700982686,1.715e-07,,,
AGO,1986,,1156.49441807608,1.73e-07,,,
AGO,1987,,1487.39889030015,0.2225,,,
AGO,1988,321.87683577698,1469.38298014573,0.219805,1464374494.5609972,19.589679532750804,21.104694022069467
AGO,1989,413.07406407785,1948.55939568153,0.194323333333333,2125704911.4595127,19.839137466754888,21.47736930735464
AGO,1990,359.625206927555,1751.15315194866,0.174636666666667,2059276632.9763947,19.70057295523396,21.445620609040056
AGO,1991,215.187307192127,1031.24778804428,0.071025,3029740333.574474,19.187019403063207,21.83174275430509
AGO,1992,188.225543938229,794.138821161656,0.0568283054258138,3312179424.1066537,19.053151503526163,21.920872245947315
AGO,1993,3014.01474820937,1774.39787682742,0.175225890755741,17200738630.633102,21.826538830373437,23.568218163485227
AGO,1994,13094.6512094571,594.991178694447,0.0570928069083604,229357285419.07758,23.29546967915289,26.158546822992285
AGO,1995,1412.66157366007,233.8437148893,0.0470739276826233,30009426517.038532,21.06874140287492,24.12477738648729
AGO,1996,1058.23511374613,159.741933468199,0.0244784815671705,43231240093.15145,20.779868370407055,24.489829221153713
AGO,1997,1696.06517018852,456.780475026196,0.0597226820719497,28399012089.66502,21.251576799396574,24.069620195933364
AGO,1998,523.134626682415,170.278292568682,0.0264201188106298,19800615978.75701,20.075349401298986,23.708978884201226
AGO,1999,6685.6591895458,1066.58878923285,0.17334692213616,38568087088.93238,22.62323064990084,24.375691012109108
AGO,2000,3096.94346125201,583.621333598924,0.0639260315427404,48445733084.20404,21.85368148179796,24.60371010296745
AGO,2001,1866.15379204975,404.299139990661,0.0452435381521461,41246857966.19622,21.347145354008475,24.442840776309524
AGO,2002,1912.89891656858,438.686245411232,0.0286993244512575,66653099093.583855,21.37188568574109,24.922767380518394
AGO,2003,2526.12486754236,670.021164432494,0.0376147907354734,67157754121.440475,21.649952292567576,24.930310227879513
AGO,2004,2404.46702158363,817.533582152083,0.0347118018672779,69269438411.09763,21.600594103297286,24.961269641702465
AGO,2005,3406.6972797387,1365.05539869044,0.0369224094698531,92266385879.29225,21.949009119238152,25.247945728801422
AGO,2006,4001.64646021594,1970.30911518376,0.0376149530543532,106384459776.77026,22.10997172843005,25.39032534845732
AGO,2007,3509.73737851172,2032.4328834343,0.0311405449295742,112706357144.65355,21.97880705068813,25.448051664073457
AGO,2008,4751.2105888824,3163.59114740902,0.0357312038062707,132970907295.5605,22.281665283338807,25.61339619910197
AGO,2009,4622.80214930016,3311.19324527722,0.0470961004832072,98156792215.70557,22.25426688400016,25.30983195767599
AGO,2010,4946.65824048307,3500.79483644649,0.041775845224338,118409531008.15344,22.321978082609697,25.49741505453617
AGO,2011,4631.71012460503,3639.4963735446,0.0325566035129376,142266379930.0945,22.256191994215012,25.680967052217184
AGO,2012,4861.04475845533,4144.63485146856,0.0323665949921649,150187091340.07025,22.30451922263147,25.735147629441112
AGO,2013,6639.35288046804,6090.75170200884,0.0445523942155109,149023481170.32397,22.6162803379246,25.727369722222736
AGO,2014,7085.00113591707,6846.24931334052,0.0469845451564414,150794290171.9406,22.68124587041608,25.73918242822213
AGO,2015,4170.56900319857,3608.29911461674,0.0310542629308278,134299403997.717,22.15131831505482,25.623337502622995
AGO,2016,3331.95443285251,2764.05493715976,0.0273333494465123,121900700072.36757,21.926824885543002,25.526472616422623
AGO,2017,2882.80233484983,3062.8729139838,0.0250798280550579,114945059771.59,21.782028690938553,25.467720110038407
AGO,2018,2376.79194455285,1983.61374800089,0.0195578680987962,121526126086.26517,21.589017492908365,25.523395106128067
AGO,2019,2171.78815514744,1470.93871728754,0.0173907233864521,124881990638.7177,21.4988166997988,25.550635053439077
AGO,2020,1901.09396153179,993.594404625879,0.0173699395811082,109447356028.77097,21.36569532665456,25.418709503736984
AGO,2021,1619.92959317395,981.451011871799,0.0130099992786185,124514195464.73383,21.205648524242513,25.54768556614847
AGO,2022,1622.76373195097,1622.76373195097,0.0131681953222365,123233570906.30989,21.207396539990235,25.53734734204951
AGO,2023,1639.71294719547,1270.15826457272,0.0133252915998752,123052687808.4099,21.21778703126471,25.53587845676645
ALB,1949,,,,,,
ALB,1950,,,,,,
ALB,1951,,,,,,
ALB,1952,,,,,,
ALB,1953,,,,,,
ALB,1954,,,,,,
ALB,1955,,,,,,
ALB,1956,,,,,,
ALB,1957,,,,,,
ALB,1958,,,,,,
ALB,1959,,,,,,
ALB,1960,,,,,,
ALB,1961,,,,,,
ALB,1962,,,,,,
ALB,1963,,,,,,
ALB,1964,,,,,,
ALB,1965,,,,,,
ALB,1966,,,,,,
ALB,1967,,,,,,
ALB,1968,,,,,,
ALB,1969,,,,,,
ALB,1970,,,,,,
ALB,1971,,,,,,
ALB,1972,,,,,,
ALB,1973,,,,,,
ALB,1974,,,,,,
ALB,1975,,0.0,,,,
ALB,1976,,0.0,,,,
ALB,1977,,0.0,,,,
ALB,1978,,0.0,,,,
ALB,1979,,0.0,,,,
ALB,1980,,0.0,0.0605202163275818,,,
ALB,1981,,0.0,0.0584831705344366,,,
